x,y,z
590.6091,-2000,-1363.1394
682.1457,-2000,-1322.8769
773.6822,-2000,-1282.614
865.2187,-2000,-1242.352
956.7552,-2000,-1202.0896
1048.2918,-2000,-1161.8272
1139.8283,-2000,-1121.564
1231.3648,-2000,-1081.302
1322.2475,-2000,-1039.5849
1412.5243,-2000,-996.572
1502.801,-2000,-953.5592
1593.0778,-2000,-910.5464
1683.4731,-2000,-867.78
1773.8234,-2000,-824.9249
1863.766,-2000,-781.2176
1953.4664,-2000,-737.0156
2043.0048,-2000,-692.4859
2131.7976,-2000,-646.48
2219.7622,-2000,-598.9249
2308.0997,-2000,-552.058
2397.4746,-2000,-507.2014
2487.4689,-2000,-463.6006
2577.7328,-2000,-420.5608
2666.7231,-2000,-374.9462
2753.3325,-2000,-324.958
2839.0606,-2000,-273.4732
2925.4624,-2000,-223.127
3011.4845,-2000,-172.13
3096.8758,-2000,-120.0934
3182.7422,-2000,-68.8396
3268.6943,-2000,-17.729
3354.4655,-2000,33.6836
3440.2366,-2000,85.096
3526.0078,-2000,136.5098
3611.7787,-2000,187.92
3697.3694,-2000,239.636
3782.374,-2000,292.3072
3866.9959,-2000,345.5908
3951.6177,-2000,398.874
4036.2396,-2000,452.1579
4120.8615,-2000,505.44
4205.4833,-2000,558.725
4290.1052,-2000,612.0086
4374.7264,-2000,665.29
4458.7882,-2000,719.456
4542.8501,-2000,773.6189
4626.9119,-2000,827.7816
4710.9738,-2000,881.9444
4795.0356,-2000,936.1072
4879.0975,-2000,990.2699
4937.6625,-2000,1028.004
590.6091,-1750,-1363.1394
682.1457,-1750,-1322.8769
773.6822,-1750,-1282.614
865.2187,-1750,-1242.352
956.7552,-1750,-1202.0896
1048.2918,-1750,-1161.8272
1139.8283,-1750,-1121.564
1231.3648,-1750,-1081.302
1322.2475,-1750,-1039.5849
1412.5243,-1750,-996.572
1502.801,-1750,-953.5592
1593.0778,-1750,-910.5464
1683.4731,-1750,-867.78
1773.8234,-1750,-824.9249
1863.766,-1750,-781.2176
1953.4664,-1750,-737.0156
2043.0048,-1750,-692.4859
2131.7976,-1750,-646.48
2219.7622,-1750,-598.9249
2308.0997,-1750,-552.058
2397.4746,-1750,-507.2014
2487.4689,-1750,-463.6006
2577.7328,-1750,-420.5608
2666.7231,-1750,-374.9462
2753.3325,-1750,-324.958
2839.0606,-1750,-273.4732
2925.4624,-1750,-223.127
3011.4845,-1750,-172.13
3096.8758,-1750,-120.0934
3182.7422,-1750,-68.8396
3268.6943,-1750,-17.729
3354.4655,-1750,33.6836
3440.2366,-1750,85.096
3526.0078,-1750,136.5098
3611.7787,-1750,187.92
3697.3694,-1750,239.636
3782.374,-1750,292.3072
3866.9959,-1750,345.5908
3951.6177,-1750,398.874
4036.2396,-1750,452.1579
4120.8615,-1750,505.44
4205.4833,-1750,558.725
4290.1052,-1750,612.0086
4374.7264,-1750,665.29
4458.7882,-1750,719.456
4542.8501,-1750,773.6189
4626.9119,-1750,827.7816
4710.9738,-1750,881.9444
4795.0356,-1750,936.1072
4879.0975,-1750,990.2699
4937.6625,-1750,1028.004
590.6091,-1916.6667,-1363.1394
681.5904,-1916.6667,-1323.1212
772.5716,-1916.6667,-1283
863.5529,-1916.6667,-1243.0848
954.5341,-1916.6667,-1203.0666
1045.5153,-1916.6667,-1163.0484
1136.4966,-1916.6667,-1123.0302
