FaultName,Name,Distance,Displacement,HorizonName,Uncertainty,ProfilePatterns,Section,Gradients,Fault_Size
Sc_8_F_8,f1,0,0,F-2,Proven,Positive Skewed,Upper,2.913157895,Medium
Sc_8_F_8,f1,114,332.1,Zo2,Secured,Positive Skewed,Upper,0.878015162,Medium
Sc_8_F_8,f1,259.1,459.5,Zo8,Secured,Positive Skewed,Mid,-0.504277353,Medium
Sc_8_F_8,f1,925.4,123.5,Gu,Secured,Positive Skewed,Mid,0.015397083,Medium
Sc_8_F_8,f1,1048.8,125.4,Ma,Secured,Positive Skewed,Lower,-0.611216131,Medium
Sc_8_F_8,f1,1207.5,28.4,Hu,Secured,Positive Skewed,Lower,-1.42,Medium
Sc_8_F_8,f1,1227.5,0,Ka,Secured,Positive Skewed,Lower,0,Medium
Sc_8_F_10,f2,0,0,Zo8,Secured,Trapezoid,Upper,0.273495773,Small
Sc_8_F_10,f2,201.1,55,Gu,Secured,Trapezoid,Upper,-0.026648901,Small
Sc_8_F_10,f2,351.2,51,Ma,Secured,Trapezoid,Upper,0.013024602,Small
Sc_8_F_10,f2,489.4,52.8,Hu,Secured,Trapezoid,Mid,-0.320027529,Small
Sc_8_F_10,f2,634.7,6.3,Ka,Secured,Trapezoid,Lower,-0.091514143,Small
Sc_8_F_10,f2,694.8,0.8,Er,Assumed,Trapezoid,Lower,-0.078431373,Small
Sc_8_F_10,f2,705,0,Pr,Assumed,Trapezoid,Lower,0,Small
Sc_8_F_10a,f3,0,0,Gu,Secured,Triangle,Upper,1.826086957,Small
Sc_8_F_10a,f3,11.5,21,Ma,Secured,Triangle,Upper,0.230101302,Small
Sc_8_F_10a,f3,149.7,52.8,Hu,Secured,Triangle,Mid,-0.320027529,Small
Sc_8_F_10a,f3,295,6.3,Ka,Secured,Triangle,Lower,-0.091703057,Small
Sc_8_F_10a,f3,363.7,0,Er,Secured,Triangle,Lower,0,Small
Sc_8_F10_F8,f4,0,0,F,Proven,Positive Skewed,Upper,2.913157895,Medium
Sc_8_F10_F8,f4,114,332.1,Zo2,Proven,Positive Skewed,Upper,0.878015162,Medium
Sc_8_F10_F8,f4,259.1,459.5,Zo8,Proven,Positive Skewed,Mid,-0.504277353,Medium
Sc_8_F10_F8,f4,925.4,123.5,Gu,Secured,Positive Skewed,Mid,0.428687196,Medium
Sc_8_F10_F8,f4,1048.8,176.4,Ma,Proven,Positive Skewed,Lower,-0.599873976,Medium
Sc_8_F10_F8,f4,1207.5,81.2,Hu,Secured,Positive Skewed,Lower,-10.82666667,Medium
