x	y	z	Name
590.6091	-2000.0000	-1363.1394	Fault
682.1457	-2000.0000	-1322.8769	Fault
773.6822	-2000.0000	-1282.6145	Fault
865.2187	-2000.0000	-1242.3520	Fault
956.7552	-2000.0000	-1202.0896	Fault
1048.2918	-2000.0000	-1161.8272	Fault
1139.8283	-2000.0000	-1121.5647	Fault
1231.3648	-2000.0000	-1081.3023	Fault
1322.2475	-2000.0000	-1039.5849	Fault
1412.5243	-2000.0000	-996.5720	Fault
1502.8010	-2000.0000	-953.5592	Fault
1593.0778	-2000.0000	-910.5464	Fault
1683.4731	-2000.0000	-867.7833	Fault
1773.8234	-2000.0000	-824.9249	Fault
1863.7660	-2000.0000	-781.2176	Fault
1953.4664	-2000.0000	-737.0156	Fault
2043.0048	-2000.0000	-692.4859	Fault
2131.7976	-2000.0000	-646.4877	Fault
2219.7622	-2000.0000	-598.9249	Fault
2308.0997	-2000.0000	-552.0581	Fault
2397.4746	-2000.0000	-507.2014	Fault
2487.4689	-2000.0000	-463.6006	Fault
2577.7328	-2000.0000	-420.5608	Fault
2666.7231	-2000.0000	-374.9462	Fault
2753.3325	-2000.0000	-324.9580	Fault
2839.0606	-2000.0000	-273.4732	Fault
2925.4624	-2000.0000	-223.1271	Fault
3011.4845	-2000.0000	-172.1350	Fault
3096.8758	-2000.0000	-120.0934	Fault
3182.7422	-2000.0000	-68.8396	Fault
3268.6943	-2000.0000	-17.7295	Fault
3354.4655	-2000.0000	33.6836	Fault
3440.2366	-2000.0000	85.0967	Fault
3526.0078	-2000.0000	136.5098	Fault
3611.7787	-2000.0000	187.9233	Fault
3697.3694	-2000.0000	239.6363	Fault
3782.3740	-2000.0000	292.3072	Fault
3866.9959	-2000.0000	345.5908	Fault
3951.6177	-2000.0000	398.8743	Fault
4036.2396	-2000.0000	452.1579	Fault
4120.8615	-2000.0000	505.4415	Fault
4205.4833	-2000.0000	558.7251	Fault
4290.1052	-2000.0000	612.0086	Fault
4374.7264	-2000.0000	665.2933	Fault
4458.7882	-2000.0000	719.4561	Fault
4542.8501	-2000.0000	773.6189	Fault
4626.9119	-2000.0000	827.7816	Fault
4710.9738	-2000.0000	881.9444	Fault
4795.0356	-2000.0000	936.1072	Fault
4879.0975	-2000.0000	990.2699	Fault
4937.6625	-2000.0000	1028.0045	Fault
590.6091	-1750.0000	-1363.1394	Fault
682.1457	-1750.0000	-1322.8769	Fault
773.6822	-1750.0000	-1282.6145	Fault
865.2187	-1750.0000	-1242.3520	Fault
956.7552	-1750.0000	-1202.0896	Fault
1048.2918	-1750.0000	-1161.8272	Fault
1139.8283	-1750.0000	-1121.5647	Fault
1231.3648	-1750.0000	-1081.3023	Fault
1322.2475	-1750.0000	-1039.5849	Fault
1412.5243	-1750.0000	-996.5720	Fault
1502.8010	-1750.0000	-953.5592	Fault
1593.0778	-1750.0000	-910.5464	Fault
1683.4731	-1750.0000	-867.7833	Fault
1773.8234	-1750.0000	-824.9249	Fault
1863.7660	-1750.0000	-781.2176	Fault
1953.4664	-1750.0000	-737.0156	Fault
2043.0048	-1750.0000	-692.4859	Fault
2131.7976	-1750.0000	-646.4877	Fault
2219.7622	-1750.0000	-598.9249	Fault
2308.0997	-1750.0000	-552.0581	Fault
2397.4746	-1750.0000	-507.2014	Fault
2487.4689	-1750.0000	-463.6006	Fault
2577.7328	-1750.0000	-420.5608	Fault
2666.7231	-1750.0000	-374.9462	Fault
2753.3325	-1750.0000	-324.9580	Fault
2839.0606	-1750.0000	-273.4732	Fault
2925.4624	-1750.0000	-223.1271	Fault
3011.4845	-1750.0000	-172.1350	Fault
