x,y,z
560,-4918.8249,2.9334
560,-4921.049,26.2867
560,-4955.5229,56.3123
560,-5011.1258,58.5364
560,-5061.1685,32.959
560,-5107.875,-7.0751
560,-5013.35,-2.0708
560,-4918.8249,2.9334
540,-4920,25.1573
540,-4927.5182,31.751
540,-4935.0363,38.3448
540,-4942.5545,44.9385
540,-4950.0726,51.5322
540,-4958.7247,56.4404
540,-4968.7167,56.8401
540,-4978.7087,57.2397
540,-4988.7007,57.6394
540,-4998.6927,58.0391
540,-5008.664,58.2837
540,-5018.1627,55.1774
540,-5027.1873,50.8696
540,-5036.2119,46.5618
540,-5045.2364,42.254
540,-5054.2545,37.933
540,-5063.0774,33.2766
540,-5070.5076,26.5839
540,-5077.9377,19.8911
540,-5085.3679,13.1984
540,-5092.798,6.5056
540,-5100.2282,-0.1871
540,-5107.875,-7.0751
580,-4920,26.2099
580,-4927.6291,32.6749
580,-4935.2583,39.1399
580,-4942.8874,45.6049
580,-4950.5165,52.0699
580,-4959.4917,56.4711
580,-4969.4837,56.8707
580,-4979.4758,57.2704
580,-4989.4678,57.6701
580,-4999.4598,58.069
580,-5009.4527,58.2563
580,-5018.8403,54.8117
580,-5027.8457,50.4638
580,-5036.851,46.1159
580,-5045.8563,41.7679
580,-5054.8589,37.4145
580,-5063.747,32.8377
580,-5071.37,26.3654
580,-5078.9929,19.8931
580,-5086.6159,13.4208
580,-5094.2388,6.9485
580,-5101.8618,0.4762
580,-5109.4847,-5.9961
580,-5111.3476,-7.5778
580,-4920,26.2099
580,-4927.6291,32.6749
580,-4935.2583,39.1399
580,-4942.8874,45.6049
580,-4950.5165,52.0699
580,-4959.4917,56.4711
580,-4969.4837,56.8707
580,-4979.4758,57.2704
580,-4989.4678,57.6701
580,-4999.4598,58.069
580,-5009.4527,58.2563
580,-5018.8403,54.8117
580,-5027.8457,50.4638
580,-5036.851,46.1159
580,-5045.8563,41.7679
580,-5054.8589,37.4145
580,-5063.747,32.8377
580,-5071.37,26.3654
580,-5078.9929,19.8931
580,-5086.6159,13.4208
580,-5094.2388,6.9485
580,-5101.8618,0.4762
580,-5109.4847,-5.9961
580,-5111.3476,-7.5778
540,-4920,25.1573
540,-4927.5182,31.751
540,-4935.0363,38.3448
540,-4942.5545,44.9385
540,-4950.0726,51.5322
540,-4958.7247,56.4404
540,-4968.7167,56.8401
540,-4978.7087,57.2397
540,-4988.7007,57.6394
540,-4998.6927,58.0391
540,-5008.664,58.2837
540,-5018.1627,55.1774
540,-5027.1873,50.8696
540,-5036.2119,46.5618
540,-5045.2364,42.254
540,-5054.2545,37.933
540,-5063.0774,33.2766
540,-5070.5076,26.5839
540,-5077.9377,19.8911
540,-5085.3679,13.1984
540,-5092.798,6.5056
540,-5100.2282,-0.1871
540,-5107.875,-7.0751
570,-4920,25.9467
570,-4927.6662,32.4989
570,-4935.3324,39.051
570,-4942.9986,45.6032
570,-4950.7105,52.0856
570,-4959.7405,56.481
570,-4969.8174,56.8841
570,-4979.8944,57.2872
570,-4989.9713,57.6902
570,-5000.0487,58.0763
570,-5010.0786,57.9627
570,-5019.5383,54.4846
570,-5028.6249,50.1098
570,-5037.7116,45.7349
570,-5046.7979,41.3594
570,-5055.866,36.9472
570,-5064.6426,32.0426
570,-5072.2821,25.4602
570,-5079.9215,18.8777
570,-5087.561,12.2952
570,-5095.2005,5.7128
570,-5102.84,-0.8697
570,-5110.4795,-7.4522
560,-4920,25.6836
560,-4927.6189,32.2514
560,-4935.2379,38.8193
560,-4942.8568,45.3871
560,-4950.5075,51.9066
560,-4959.4333,56.4687
560,-4969.4847,56.8708
560,-4979.5361,57.2728
560,-4989.5875,57.6748
560,-4999.6392,58.0649
560,-5009.6583,58.0529
560,-5019.1328,54.6902
560,-5028.2012,50.3366
560,-5037.2697,45.9829
560,-5046.3379,41.6286
560,-5055.3907,37.2432
560,-5064.1807,32.4
560,-5071.7525,25.7789
560,-5079.3243,19.1579
560,-5086.896,12.5368
560,-5094.4678,5.9157
560,-5102.0396,-0.7054
560,-5109.6113,-7.3265
550,-4920,25.4204
550,-4927.5717,32.004
550,-4935.1434,38.5875
550,-4942.715,45.171
550,-4950.3046,51.7276
550,-4959.1261,56.4564
550,-4969.152,56.8575
550,-4979.1779,57.2585
550,-4989.2037,57.6595
550,-4999.2298,58.0536
550,-5009.238,58.1432
550,-5018.7273,54.8959
550,-5027.7776,50.5633
550,-5036.8278,46.2308
550,-5045.8779,41.8979
550,-5054.9153,37.5392
550,-5063.7189,32.7574
550,-5071.2229,26.0977
550,-5078.727,19.438
550,-5086.231,12.7783
550,-5093.7351,6.1186
550,-5101.2391,-0.5411
550,-5108.7432,-7.2008
580,-4918.8249,2.9334
580,-4921.049,26.2867
580,-4955.5229,56.3123
580,-5011.1258,58.5364
580,-5061.1685,32.959
580,-5107.875,-7.0751
580,-5013.35,-2.0708
580,-4918.8249,2.9334
540,-4918.8249,2.9334
540,-4921.049,26.2867
540,-4955.5229,56.3123
540,-5011.1258,58.5364
540,-5061.1685,32.959
540,-5107.875,-7.0751
540,-5013.35,-2.0708
540,-4918.8249,2.9334
