x	y	z	Name
351033.1964	5705615.0505	-621.0671	Di_hw29
351033.1964	5705615.0505	-621.0671	Di_hw29
351036.3700	5705610.6608	-612.6657	Di_hw29
351046.8313	5705596.1911	-617.3645	Di_hw29
351080.9681	5705548.9741	-628.6415	Di_hw29
351106.8461	5705513.1805	-630.5210	Di_hw29
351121.1615	5705493.3798	-616.4247	Di_hw29
351126.6675	5705485.7642	-571.3166	Di_hw29
351130.5216	5705480.4332	-510.2327	Di_hw29
351134.3758	5705475.1023	-480.1606	Di_hw29
351142.0841	5705464.4404	-461.3656	Di_hw29
351148.6576	5705455.3481	-451.3848	Di_hw29
351129.2687	5705482.1662	-446.0595	Di_hw30
351147.5900	5705456.8247	-405.9202	Di_hw30
351196.5929	5705389.0454	-321.3424	Di_hw30
351260.4618	5705300.7039	-224.5479	Di_hw30
351330.3873	5705203.9852	-164.4038	Di_hw30
351402.5151	5705104.2202	-118.3559	Di_hw30
351474.6429	5705004.4552	-88.2838	Di_hw30
351512.6339	5704951.9072	-72.3080	Di_hw30
351565.9770	5704878.1247	-50.5006	Di_hw30
351598.2501	5704820.6764	-34.7179	Di_hw30
351652.1020	5704724.8160	-7.4651	Di_hw30
351679.2581	5704676.4762	9.4505	Di_hw30
351683.4865	5704668.9494	13.5565	Di_hw30
351714.6998	5704608.0568	46.1008	Di_hw30
351735.2771	5704567.9135	68.5246	Di_hw30
351432.5153	5705062.7248	-525.5459	Gi5_hw29
351436.8708	5705056.7004	-569.0148	Gi5_hw29
351431.7806	5705063.7410	-595.9476	Gi5_hw29
351422.5039	5705076.5723	-626.1926	Gi5_hw29
351619.7956	5704782.3237	-584.9975	Fi_hw29
351625.2595	5704772.5976	-570.1367	Fi_hw29
351628.1286	5704767.4904	-556.4681	Fi_hw29
351628.4405	5704766.9352	-548.0610	Fi_hw29
352035.9184	5703979.4050	-555.6436	Sb_hw29
352077.6863	5703896.7360	-531.4681	Sb_hw29
352109.2900	5703834.1845	-499.6127	Sb_hw29
352119.4288	5703814.1174	-489.3931	Sb_hw29
352154.1202	5703745.4545	-430.5650	Sb_hw29
352162.4362	5703728.9952	-416.4632	Sb_hw29
352171.6740	5703710.7112	-394.2222	Sb_hw29
352194.6559	5703660.7369	-334.5020	Sb_hw29
352204.1337	5703640.1274	-309.8733	Sb_hw29
352223.0373	5703599.0216	-245.3583	Sb_hw29
350743.9444	5706015.1350	-403.3522	Ma_fw29
350722.6873	5706044.5372	-404.0027	Ma_fw29
350708.1953	5706064.5820	-396.5822	Ma_fw29
350690.8049	5706088.6358	-369.3739	Ma_fw29
350679.6944	5706104.0035	-357.8310	Ma_fw29
350674.8638	5706110.6852	-359.4799	Ma_fw29
350672.9315	5706113.3578	-390.8108	Ma_fw29
350670.9992	5706116.0305	-422.9661	Ma_fw29
350666.1686	5706122.7121	-427.0886	Ma_fw29
350648.2952	5706147.4341	-412.2476	Ma_fw29
350616.4128	5706191.5327	-379.2678	Ma_fw29
350594.6749	5706221.6000	-348.7615	Ma_fw29
350583.5644	5706236.9677	-332.2716	Ma_fw29
350577.2845	5706245.6538	-330.6226	Ma_fw29
350567.1401	5706259.6852	-347.1125	Ma_fw29
350564.1655	5706263.7996	-358.2820	Ma_fw29
350566.9315	5706259.9737	-360.5518	Ma_fw37
350560.9273	5706268.2785	-363.4540	Ma_fw37
350541.6625	5706294.9250	-358.1695	Ma_fw37
350537.2661	5706301.0061	-356.5846	Ma_fw37
350500.5278	5706349.2089	-343.7840	Ma_fw37
350459.2408	5706403.3798	-329.3985	Ma_fw37
350441.1113	5706427.1667	-324.4602	Ma_fw37
