x,y,z
562,-5809.9511,90.2764
561.9696,-5809.6038,90.2734
561.8794,-5809.2671,90.2704
561.7321,-5808.9511,90.2676
561.5321,-5808.6656,90.2651
561.2856,-5808.4191,90.263
561,-5808.2191,90.2612
560.684,-5808.0718,90.2599
560.3473,-5807.9815,90.2591
560,-5807.9512,90.2589
559.6527,-5807.9815,90.2591
559.316,-5808.0718,90.2599
559,-5808.2191,90.2612
558.7144,-5808.4191,90.263
558.4679,-5808.6656,90.2651
558.2679,-5808.9511,90.2676
558.1206,-5809.2671,90.2704
558.0304,-5809.6038,90.2734
558,-5809.9511,90.2764
558.0304,-5810.2984,90.2795
558.1206,-5810.6351,90.2824
558.2679,-5810.951,90.2852
558.4679,-5811.2366,90.2877
558.7144,-5811.4831,90.2899
559,-5811.6831,90.2917
559.316,-5811.8304,90.293
559.6527,-5811.9206,90.2937
560,-5811.951,90.294
560.3473,-5811.9206,90.2937
560.684,-5811.8304,90.293
561,-5811.6831,90.2917
561.2856,-5811.4831,90.2899
561.5321,-5811.2366,90.2877
561.7321,-5810.951,90.2852
561.8794,-5810.6351,90.2824
561.9696,-5810.2984,90.2795
562,-5810.8526,-12.2768
561.9696,-5810.5053,-12.2798
561.8794,-5810.1686,-12.2828
561.7321,-5809.8526,-12.2855
561.5321,-5809.5671,-12.2881
561.2856,-5809.3206,-12.2902
561,-5809.1206,-12.292
560.684,-5808.9733,-12.2933
560.3473,-5808.883,-12.2941
560,-5808.8527,-12.2943
559.6527,-5808.883,-12.2941
559.316,-5808.9733,-12.2933
559,-5809.1206,-12.292
558.7144,-5809.3206,-12.2902
558.4679,-5809.5671,-12.2881
558.2679,-5809.8526,-12.2855
558.1206,-5810.1686,-12.2828
558.0304,-5810.5053,-12.2798
558,-5810.8526,-12.2768
558.0304,-5811.1999,-12.2737
558.1206,-5811.5366,-12.2707
558.2679,-5811.8525,-12.268
558.4679,-5812.1381,-12.2655
558.7144,-5812.3846,-12.2633
559,-5812.5846,-12.2615
559.316,-5812.7319,-12.2602
559.6527,-5812.8221,-12.2594
560,-5812.8525,-12.2592
560.3473,-5812.8221,-12.2594
560.684,-5812.7319,-12.2602
561,-5812.5846,-12.2615
561.2856,-5812.3846,-12.2633
561.5321,-5812.1381,-12.2655
561.7321,-5811.8525,-12.268
561.8794,-5811.5366,-12.2707
561.9696,-5811.1999,-12.2737
562,-5811.7541,-114.8299
561.9696,-5811.4068,-114.833
561.8794,-5811.0701,-114.8359
561.7321,-5810.7541,-114.8387
561.5321,-5810.4686,-114.8412
561.2856,-5810.222,-114.8434
561,-5810.0221,-114.8452
560.684,-5809.8748,-114.8465
560.3473,-5809.7845,-114.8472
560,-5809.7542,-114.8475
559.6527,-5809.7845,-114.8472
559.316,-5809.8748,-114.8465
559,-5810.0221,-114.8452
558.7144,-5810.222,-114.8434
558.4679,-5810.4686,-114.8412
558.2679,-5810.7541,-114.8387
558.1206,-5811.0701,-114.8359
558.0304,-5811.4068,-114.833
558,-5811.7541,-114.8299
558.0304,-5812.1014,-114.8269
558.1206,-5812.4381,-114.8239
558.2679,-5812.754,-114.8211
558.4679,-5813.0396,-114.8186
558.7144,-5813.2861,-114.8165
559,-5813.4861,-114.8147
559.316,-5813.6334,-114.8134
559.6527,-5813.7236,-114.8126
560,-5813.754,-114.8124
560.3473,-5813.7236,-114.8126
560.684,-5813.6334,-114.8134
561,-5813.4861,-114.8147
561.2856,-5813.2861,-114.8165
561.5321,-5813.0396,-114.8186
561.7321,-5812.754,-114.8211
561.8794,-5812.4381,-114.8239
561.9696,-5812.1014,-114.8269
562,-5812.6556,-217.3831
561.9696,-5812.3083,-217.3862
561.8794,-5811.9716,-217.3891
561.7321,-5811.6556,-217.3919
561.5321,-5811.3701,-217.3944
561.2856,-5811.1235,-217.3966
561,-5810.9236,-217.3983
560.684,-5810.7763,-217.3996
560.3473,-5810.686,-217.4004
560,-5810.6557,-217.4007
559.6527,-5810.686,-217.4004
559.316,-5810.7763,-217.3996
559,-5810.9236,-217.3983
558.7144,-5811.1235,-217.3966
558.4679,-5811.3701,-217.3944
558.2679,-5811.6556,-217.3919
558.1206,-5811.9716,-217.3891
558.0304,-5812.3083,-217.3862
558,-5812.6556,-217.3831
558.0304,-5813.0029,-217.3801
558.1206,-5813.3396,-217.3771
558.2679,-5813.6555,-217.3743
558.4679,-5813.9411,-217.3718
558.7144,-5814.1876,-217.3697
559,-5814.3876,-217.3679
559.316,-5814.5349,-217.3666
559.6527,-5814.6251,-217.3658
560,-5814.6555,-217.3655
560.3473,-5814.6251,-217.3658
560.684,-5814.5349,-217.3666
561,-5814.3876,-217.3679
561.2856,-5814.1876,-217.3697
561.5321,-5813.9411,-217.3718
561.7321,-5813.6555,-217.3743
561.8794,-5813.3396,-217.3771
561.9696,-5813.0029,-217.3801
562,-5813.5571,-319.9363
561.9696,-5813.2098,-319.9394
